Type,Name,Mass,R x,R y,V x,Vy,Color,Angle (Deg)
dynamic,0,10.0,-21.168336997776194,-7.132321823272437,0.2741149551725659,-1.1487079832434766,w,0
dynamic,1,10.0,-49.27399396760236,-47.945696104378506,-1.2770466375647218,-1.8175835516186964,w,0
dynamic,2,10.0,36.44451547756201,46.2604730152994,-1.5257944643946262,1.9950184768377504,w,0
dynamic,3,10.0,-23.513638786163725,-36.52470549407165,-1.742363707218645,-1.7589916711504232,w,0
dynamic,4,10.0,-13.917178603793623,46.10685425743948,-0.15430738696188984,-1.9878969823012904,w,0
dynamic,5,10.0,6.868272302488165,25.913440726634395,-1.0873536978897462,1.9759232506302546,w,0
dynamic,6,10.0,12.594851098688487,-41.82821617361125,-0.7800392399192062,0.7145096449645651,w,0
dynamic,7,10.0,27.47108786102683,-49.828249097948586,1.0274636215093471,1.7952318537169942,w,0
dynamic,8,10.0,47.23082557603955,-45.61044048808184,1.6386148745648184,1.6985891891244809,w,0
dynamic,9,10.0,20.490653712971977,49.07765686693996,-0.37977578363893105,-1.9814990237794672,w,0
dynamic,10,10.0,45.53316949371185,45.721590667922456,-0.5985380001764407,1.9480913999670861,w,0
dynamic,11,10.0,-17.13704377913612,-49.17296721492404,0.909035386506746,-1.7519331461935261,w,0
dynamic,12,10.0,49.26812735378354,8.218749640074636,-0.8598573237312244,-1.4244962032653203,w,0
dynamic,13,10.0,13.212206883352032,40.2147608682845,1.3922560505881698,-0.13064599480428205,w,0
dynamic,14,10.0,-43.85187356702117,-41.8490569754169,1.690344472568647,-1.9652307912222193,w,0
dynamic,15,10.0,38.1210088978946,49.98851471479462,1.8653798931464092,-1.9860865253909323,w,0
dynamic,16,10.0,9.051241925563993,-49.26646918640774,-0.18631846418265585,1.519930332953953,w,0
dynamic,17,10.0,-29.281433254280177,43.94848102057344,1.9361737976937001,-1.11798699423109,w,0
dynamic,18,10.0,43.354963419884655,-33.1606502649069,1.7002678178301642,-1.8029076093887064,w,0
dynamic,19,10.0,-7.335311883469032,-49.65657831200362,0.6877823711685145,1.8728141737433919,w,0
dynamic,20,10.0,31.75569833507683,-33.96210577048074,0.7865267342026914,1.735827125322508,w,0
dynamic,21,10.0,-30.371804813200654,10.495150181241687,-0.22209300224937145,1.852785648285264,w,0
dynamic,22,10.0,18.86901024724061,43.42162767655155,-1.1207772862857022,-1.979195235931055,w,0
dynamic,23,10.0,45.10582146505861,-49.60465135909452,1.1527560945376005,-1.596995270962481,w,0
dynamic,24,10.0,3.105834819224107,-44.968272409571476,-0.2662264518531243,-0.3386450979925834,w,0
dynamic,25,10.0,17.358259688418016,-24.858404262757205,-0.7587192960789801,1.9683290619687217,w,0
dynamic,26,10.0,14.832369921539467,-35.606464616658236,-1.279984179770468,1.0146092319137896,w,0
dynamic,27,10.0,-42.68325142839312,48.83672806019594,1.731772733344834,1.9671242455161766,w,0
dynamic,28,10.0,17.017011386680764,-36.67794858788657,-1.7576592187212863,-1.120635622426215,w,0
