" Name",," Mass"," R x"," R y"," R z"," V x"," Vy"," V z"," Color"," Angle (Deg)"," Orbital Inclination (Deg)"
Sun,Dynamic,332840,0,0,0,0,0,0,y,0.0,0.0
Mercury,Dynamic,0.0553,0.4667045037,0,0,0,8.19188772,0,maroon,192.12,7.0
Venus,Dynamic,0.815,0.7282256057,0,0,0,7.333910803,0,tomato,84.73,3.4
Earth,Dynamic,1,1.016725701,0,0,0,6.174482536,0,aqua,224.0,0.0
Mars,Dynamic,0.107,1.666206871,0,0,0,4.631388915,0,coral,206.27,25.2
Jupiter,Dynamic,317.83,5.457049597,0,0,0,2.622415935,0,chocolate,136.09,3.1
Saturn,Dynamic,95.16,10.07051098,0,0,0,1.916218718,0,peachpuff,91.84,26.7
Uranus,Dynamic,14.54,20.06305294,0,0,0,1.368125355,0,lightskyblue,173.33,97.8
Neptune,Dynamic,17.15,30.47407679,0,0,0,1.132023599,0,royalblue,119.1,28.3
Moon,Dynamic,0.0123,1.0148205,0,0,0,6.402482,0,w,30.0,5.1
