['0', 2.1437809330837543, array([ 1.94756247, -0.67326118]), array([0.26899628, 0.21875793]), 'w', 0]
['1', 1.8641830881539423, array([ 0.01283716, -1.98608872]), array([0.18060814, 0.39920989]), 'w', 0]
['2', 2.394468697476875, array([-0.52069509,  3.50962577]), array([0.145405  , 0.39807091]), 'w', 0]
['3', 2.1849477567598834, array([ 1.44024934, -1.29174058]), array([0.14371375, 0.20143507]), 'w', 0]
['4', 1.902294192368036, array([3.8440292, 3.9284136]), array([0.23696168, 0.2070127 ]), 'w', 0]
['5', 2.0558937312490717, array([-1.62314482,  2.07356003]), array([0.23002785, 0.39685807]), 'w', 0]
['6', 2.0528278016140304, array([-0.50012206, -1.88842884]), array([0.1806247 , 0.39785485]), 'w', 0]
['7', 2.1387294354474635, array([ 2.60140289, -1.2852566 ]), array([0.1053418 , 0.25767803]), 'w', 0]
['8', 1.959511018610546, array([1.92016021, 3.03245522]), array([0.16769851, 0.33465186]), 'w', 0]
['9', 1.741459966988773, array([3.62763372, 3.93990027]), array([0.29499299, 0.23597883]), 'w', 0]
['10', 2.129254283624819, array([ 1.23455611, -1.98707344]), array([0.23524239, 0.25873777]), 'w', 0]
['11', 2.13797905766264, array([2.15546128, 1.67419655]), array([0.16693032, 0.3913651 ]), 'w', 0]
['12', 2.003628383255356, array([ 1.27666461, -1.78493251]), array([0.1410297 , 0.20403078]), 'w', 0]
['13', 1.9706969808857104, array([1.91419081, 3.52541507]), array([0.21532579, 0.31017671]), 'w', 0]
['14', 1.8686522397590557, array([ 1.4778872 , -1.75496469]), array([0.29520938, 0.20461139]), 'w', 0]
['15', 1.9062328729990727, array([ 3.20911284, -1.94640652]), array([0.26747907, 0.39891109]), 'w', 0]
['16', 1.8107899989662664, array([ 2.08700526, -1.84366127]), array([0.20535434, 0.21463934]), 'w', 0]
['17', 1.8760065673649364, array([3.51415235, 3.99412931]), array([0.20470466, 0.39551892]), 'w', 0]
['18', 2.0133301482687043, array([3.89704093, 0.16571307]), array([0.28400048, 0.3536994 ]), 'w', 0]
['19', 2.20459027834494, array([ 2.80597983, -1.24103721]), array([0.14659316, 0.21436126]), 'w', 0]
['20', 2.0809968536273837, array([ 0.15602648, -1.9254804 ]), array([0.19991769, 0.38392909]), 'w', 0]
['21', 2.059566934098041, array([ 1.3978129 , -1.49948908]), array([0.10384475, 0.23717489]), 'w', 0]
['22', 1.872297234922916, array([-0.89790736,  3.53301402]), array([0.10709897, 0.20129037]), 'w', 0]
['23', 2.098753866172465, array([1.47872973, 3.9902712 ]), array([0.28701787, 0.24487823]), 'w', 0]
['24', 2.0612905099728214, array([-1.52936992,  3.22549361]), array([0.13793071, 0.3888414 ]), 'w', 0]
['25', 1.795096391623081, array([-0.55534499,  0.04324198]), array([0.11337134, 0.36514521]), 'w', 0]
['26', 1.9959382147473872, array([ 3.5297191 , -1.98896767]), array([0.2961996 , 0.34413137]), 'w', 0]
['27', 1.8089074507905651, array([ 2.88853165, -1.14592058]), array([0.14582762, 0.23844333]), 'w', 0]
['28', 2.0626100270244083, array([ 1.99104086, -0.44378245]), array([0.27004383, 0.39999113]), 'w', 0]
['29', 2.019041639573899, array([ 1.09951746, -1.24940161]), array([0.1196359, 0.2411289]), 'w', 0]
['30', 1.974070296860612, array([1.59690761, 3.54819478]), array([0.26924817, 0.34806119]), 'w', 0]
['31', 1.9308598928373808, array([-0.44625717, -0.12718995]), array([0.18043034, 0.39424242]), 'w', 0]
['32', 2.037556466840637, array([-1.60576397,  3.50511256]), array([0.24092189, 0.21273326]), 'w', 0]
['33', 1.9833931375280835, array([ 3.18381468, -0.30172566]), array([0.23894166, 0.36082236]), 'w', 0]
['34', 1.963871498693032, array([1.61181322, 3.46757899]), array([0.28214559, 0.39907894]), 'w', 0]
['35', 1.8810539920981395, array([ 0.29875901, -1.90143939]), array([0.10145754, 0.3999971 ]), 'w', 0]
['36', 2.119967267556897, array([-0.67572463,  3.80127207]), array([0.12015817, 0.213973  ]), 'w', 0]
['37', 2.0269423770447945, array([ 3.61506418, -1.98230347]), array([0.21262012, 0.37287824]), 'w', 0]
['38', 2.3197977429189485, array([ 1.94563918, -0.57926217]), array([0.24748966, 0.39818313]), 'w', 0]
['39', 1.8997250710716016, array([-1.88086409, -1.65641905]), array([0.15195683, 0.21341397]), 'w', 0]
mode = Simulation   method = Eiler
All saved in  /Users/ilyabelov/PycharmProjects/N-body/Plots/Simulation/2023-07-03 15:10:08.881976
N = 40   time_direction = 1   end_time = 10.0   time_step = 5e-05   delta_cur = 0   inum = s   pulse_table = False
